No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,Time 1,Time 2,delay 1,delay 2,jitter,,,,,,Time 1,Time 2,delay,delay 2,jitter
112,16.068694,192.168.100.11,20.50.80.210,TCP,54,61313  >  443 [ACK] Seq=1420 Ack=6758 Win=261376 Len=0,,,,,,,,,,,16.068694,16.530054,0.46136,0.00014,0.46122,,,,,,16.068694,16.530054,0.46136,0.00014,0.46122
113,16.530054,192.168.100.11,35.186.224.25,TLSv1.2,136,Application Data,,,,,,,,,,,16.530054,16.530194,0.00014,0,0.00014,,,,,,16.530054,16.530194,0.00014,0,0.00014
114,16.530194,192.168.100.11,35.186.224.25,TCP,1466,61103  >  443 [ACK] Seq=791 Ack=3530 Win=512 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,,,16.530194,16.530194,0,0.06284,-0.06284,,,,,,16.530194,16.530194,0,0.06284,-0.06284
115,16.530194,192.168.100.11,35.186.224.25,TLSv1.2,660,Application Data,,,,,,,,,,,16.530194,16.593034,0.06284,0.000211,0.062629,,,,,,16.530194,16.593034,0.06284,0.000211,0.062629
116,16.593034,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=3530 Ack=791 Win=605 Len=0,,,,,,,,,,,16.593034,16.593245,0.000211,6.30E-05,0.000148,,,,,,16.593034,16.593245,0.000211,6.30E-05,0.000148
117,16.593245,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=3530 Ack=2203 Win=616 Len=0,,,,,,,,,,,16.593245,16.593308,6.30E-05,0.192884,-0.192821,,,,,,16.593245,16.593308,6.30E-05,0.192884,-0.192821
118,16.593308,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=3530 Ack=2809 Win=627 Len=0,,,,,,,,,,,16.593308,16.786192,0.192884,0.001304,0.19158,,,,,,16.593308,16.786192,0.192884,0.001304,0.19158
119,16.786192,35.186.224.25,192.168.100.11,TLSv1.2,140,Application Data,,,,,,,,,,,16.786192,16.787496,0.001304,0.003381,-0.002077,,,,,,16.786192,16.787496,0.001304,0.003381,-0.002077
120,16.787496,192.168.100.11,35.186.224.25,TLSv1.2,93,Application Data,,,,,,,,,,,16.787496,16.790877,0.003381,9.50E-05,0.003286,,,,,,16.787496,16.790877,0.003381,9.50E-05,0.003286
121,16.790877,192.168.100.11,35.186.224.25,TLSv1.2,136,Application Data,,,,,,,,,,,16.790877,16.790972,9.50E-05,0,9.50E-05,,,,,,16.790877,16.790972,9.50E-05,0,0.000095
122,16.790972,192.168.100.11,35.186.224.25,TCP,1466,61103  >  443 [ACK] Seq=2930 Ack=3616 Win=511 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,,,16.790972,16.790972,0,0.009554,-0.009554,,,,,,16.790972,16.790972,0,0.009554,-0.009554
123,16.790972,192.168.100.11,35.186.224.25,TLSv1.2,480,Application Data,,,,,,,,,,,16.790972,16.800526,0.009554,0.00283,0.006724,,,,,,16.790972,16.800526,0.009554,0.00283,0.006724
